Project-Number,Name,Address,Lat,Lng,Weather_Category,Color,Temperature_F,Windspeed_mph
18-054,PAR 1244,"5950 York St, Denver, CO 80216, USA",39.805279,-104.958759,Cold but Good Weather,Blue,28,6
18-121,SECURITY SANITATION WWTF IMPROVEMENTS,"6510 Southmoor Dr, Fountain, CO 80817, USA",38.736055,-104.73794900000001,Snow,Red,30,7
18-145,WESTERN CURRENCY FACILITY EXPANSION,"8776 Blue Mound Rd, Fort Worth, TX 76131, USA",32.8943727,-97.34863329999996,Rain,Red,52,8
18-147,BID PACKAGE 4.3 - LEONARD WTP YARD PIPE,"361 Co Rd 4965, Leonard, TX 75452, USA",33.383391,-96.28256390000001,Good Weather,Green,48,9
19-040,SADDLE CREEK RTB,"2520 S 64th St, Omaha, NE 68106, USA",41.2404302,-96.011843,Cold but Good Weather,Blue,31,8
19-048,MARCY GULCH WWTP,"8700 US-85, Highlands Ranch, CO 80126, USA",39.55690000000001,-105.03353500000003,Cold but Good Weather,Blue,28,3
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,"3575 S Terminal Rd, Houston, TX 77032, USA",29.98596229999999,-95.33682160000001,Good Weather,Green,55,12
19-173,NORTHWATER RAPID MIX/FLOC/SED,"6949 CO-93, Golden, CO 80403, USA",39.8180911,-105.2217388,Cold but Good Weather,Blue,27,6
20-026,Project MP-18002/19003 Elevated Tanks Water One,"19770 S Lackman Rd, Spring Hill, KS 66083, USA",38.769805,-94.761545,Cold but Good Weather,Blue,30,8
20-133,WWTP Improvements - Tahlequah,"1410 E Powell Rd, Tahlequah, OK 74464, USA",35.892527,-94.954679,Good Weather,Green,38,10
20-134,Erie North Water Reclamation Facility,"501 State Hwy 52, Erie, CO 80516, USA",40.0876404,-105.0454163,Cold but Good Weather,Blue,27,0
20-137,Sister Grove 2.30 Dewatering Pkg.,"3360 FM2933, McKinney, TX 75071, USA",33.23189719999999,-96.56158099999999,Good Weather,Green,51,9
20-138,Sister Grove 2.10 - Yard Pipe,"3360 FM2933, McKinney, TX 75071, USA",33.23189719999999,-96.56158099999999,Good Weather,Green,51,9
20-140,South Mesquite Creek,"3500 Lawson Rd, Mesquite, TX 75181, USA",32.7161822,-96.5482324,Good Weather,Green,53,8
20-143,Lake Georgetown Chemical Feed System,"2050 Cedar Breaks Rd, Georgetown, TX 78628, USA",30.6662738,-97.7383673,Rain,Red,52,5
20-156,Goose Pasture Tarn Dam Rehabilitation,"271 Lakeshore Loop, Blue River, CO 80424, USA",39.45540199999999,-106.032505,Snow,Red,17,4
20-175,Armourdale  Unit and CID Unit Pump Station Modifications,"Levee Rd, Kansas City, KS, USA",39.0890506,-94.66471779999999,Good Weather,Green,32,7
20-187,Sister Grove 1.40 - Headworks,"3360 FM2933, McKinney, TX 75071, USA",33.2330941,-96.5751391,Good Weather,Green,51,9
21-015,Solids Dewatering Improvements Northeast WRRF,"7000 N 70th St, Lincoln, NE 68507, USA",40.8825955,-96.62324219999999,Cold but Good Weather,Blue,31,9
21-016,Wichita NWWTP Package 006 Filter Bldg. Embeds,"5211 W 21st St N, Wichita, KS 67205, USA",37.7233663,-97.4044747,Good Weather,Green,34,14
21-030,Northwater Bid Pkg 22 - Moffat WTP Mods,"6949 CO-93, Golden, CO 80403, USA",39.8180631,-105.2217381,Cold but Good Weather,Blue,27,6
21-046,Bioscience 5,"2200 Racine St, Aurora, CO 80011, USA",39.7492871,-104.8433647,Snow,Red,27,3
21-052,Sister Grove 4.10 Solids Handling,"3360 FM2933, McKinney, TX 75071, USA",33.2330941,-96.5751391,Good Weather,Green,51,9
21-053,Allison WWTP Lift Station & Plant Improvements,"4104 Allison Rd, Corpus Christi, TX 78410, USA",27.8556648,-97.5656173,Good Weather,Green,64,6
21-070,(921-231) WWTP Expansion & Reuse Pump Station,"1801 Park Blvd, Cleburne, TX 76033, USA",32.3140571,-97.3939319,Good Weather,Green,52,8
21-071,"Wastewater Treatment Facility Improvements - Perry, IA","Ivy Pl, Perry, IA 50220, USA",41.8287612,-94.1109504,Cold but Good Weather,Blue,26,5
21-079,Hefner WTP Lime System Improvements,"3827 W Hefner Rd, Oklahoma City, OK 73120, USA",35.58301859999999,-97.58944,Good Weather,Green,45,7
21-081,Raw Water Infrastructure & Groundwater Treatment Plant PH 1B,"362 Wolf Run Rd, Rosanky, TX 78953, USA",29.788553,-97.40075739999999,Good Weather,Green,53,9
21-089,City of Early Water Treatment Facility,"103 Karr Ave, Early, IA 50535, USA",42.4604627,-95.14769919999999,Cold but Good Weather,Blue,27,8
21-098,Sister Grove Outfall Structure,"McKinney, TX, USA",33.1983388,-96.6389342,Good Weather,Green,51,9
21-104,Boeing MQ-25 Production Facility MAB/CUP,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-105,BOEING MQ-25 PRODUCTION FACILITY TRUCK INSPECTION,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-106,BOEING MQ-25 PRODUCTION FACILITY MAINTENANCE BUILDING,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-107,BOEING MQ-25 PRODUCTION FACILITY HANGAR,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-108,BOEING MQ-25 PRODUCTION FACILITY FUEL CALIBRATION - FINAL PAINT,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-113,(921-411) Northwest Water Treatment Plant Softener Addition,"7807 Ellis Rd NW, Cedar Rapids, IA 52405, USA",42.0005672,-91.7419098,Cold but Good Weather,Blue,25,3
21-114,PBWTP Chemical Clearwell and Pump Station Improvements,"1901 Lakewood Dr, Arlington, TX 76013, USA",32.7139882,-97.18445609999999,Good Weather,Green,52,10
21-120,Monroe Street Combined Sewer Lift Station,"5600 S 10th St, Omaha, NE 68107, USA",41.2081226,-95.9311882,Cold but Good Weather,Blue,31,8
21-122,SIRWA Creston WTP,"2127 US-34, Creston, IA 50801, USA",41.04870639999999,-94.2560152,Cold but Good Weather,Blue,25,3
21-125,Project Storm,"21795 Kansas Ave, Tonganoxie, KS 66086, USA",39.083829,-95.08650999999999,Cold but Good Weather,Blue,31,6
21-127,Ellsworth AFB B-21 Low Observable Restoration Facility,"Ellsworth AFB, SD, USA",44.1463938,-103.0748767,Cold but Good Weather,Blue,22,0
21-130,UPS 747-8F MAINTENANCE HANGAR,"4435 Crittenden Dr, Louisville, KY 40209, USA",38.1879064,-85.7506774,Cold but Good Weather,Blue,28,0
21-132,Blair Intake,"Fairview Dr, Blair, NE 68008, USA",41.5515604,-96.1264618,Cold but Good Weather,Blue,31,8
21-135,Consolidated Space Operations Facility,"Sputnik St, Schriever AFB, CO 80930, USA",38.797386,-104.5245628,Snow,Red,28,7
21-136,Cargo Largo 2021,"3232 S Noland Rd, Independence, MO 64055, USA",39.06187089999999,-94.4167159,Cold but Good Weather,Blue,30,8
21-137,Broomfield WRF Carbon Addition,"2985 W 124th Ave, Broomfield, CO 80020, USA",39.9216312,-105.0245563,Cold but Good Weather,Blue,27,6
21-141,CRESTON WTP PIPE SUPPORTS,"2127 US-34, Creston, IA 50801, USA",41.04870639999999,-94.2560152,Cold but Good Weather,Blue,25,3
21-143,Water Treatment Plant Rehabilitation,"851 W 42nd St, Odessa, TX 79764, USA",31.8794341,-102.396267,Good Weather,Green,39,10
21-146,CSU Lory Student Center,"1101 Center Ave Mall, Fort Collins, CO 80521, USA",40.5748455,-105.0846754,Cold but Good Weather,Blue,28,0
22-001,Mars Project Y,"100 Mars Blvd, Topeka, KS 66619, USA",38.932421,-95.692968,Cold but Good Weather,Blue,31,6
22-004,McKinney Ranch Pump Station,"3250 McKinney Ranch Pkwy, McKinney, TX 75070, USA",33.1594978,-96.6548962,Good Weather,Green,51,9
22-005,Kaw Lake Water Supply Project,"6323 W Chestnut Ave, Enid, OK 73703, USA",36.4046147,-97.94638920000001,Good Weather,Green,42,10
22-007,Eagle Mountain & Westside WTP Enclosures,"12200 Old Weatherford Rd, Aledo, TX 76008, USA",32.7437057,-97.53073200000001,Good Weather,Green,51,7
22-008,(922-046) Kaw Lake Raw Water Intake,"6323 W Chestnut Ave, Enid, OK 73703, USA",36.403668,-97.957814,Good Weather,Green,42,10
22-010,Ceti Alpha - Windsor Colorado Cold Storage Facility,"Great Western Dr, Windsor, CO, USA",40.4591737,-104.8561675,Cold but Good Weather,Blue,26,3
22-013,Ark City WWTP Stairs,"1701 S M St, Arkansas City, KS 67005, USA",37.0430943,-97.02437359999999,Good Weather,Green,38,14
22-014,REIMAGINING MONTBELLO,"5000 Crown Blvd, Denver, CO 80239, USA",39.7872005,-104.8272828,Snow,Red,27,3
22-022,(922-107) Wellington WWTF,"6190 NE Frontage Rd, Wellington, CO 80549, USA",40.6751664,-105.0002094,Cold but Good Weather,Blue,27,3
22-026,WRA Birdland Pump Station Improvements,"1800 Pennsylvania Ave, Des Moines, IA 50316, USA",41.6102143,-93.61075319999999,Cold but Good Weather,Blue,27,3
22-036,(922-157) Jefferson County Horizontal Collector Well,"100 Howard Dohack Dr, Crystal City, MO 63019, USA",38.2381754,-90.3689675,Cold but Good Weather,Blue,30,3
22-038,(922-149) Jonesboro West Side WWTP,"1605 Willett Rd, Jonesboro, AR 72401, USA",35.8597474,-90.7320651,Cold but Good Weather,Blue,30,5
22-040,HME Erection Garden City Airport New Terminal,"2225 S Air Service Rd suite 112, Garden City, KS 67846, USA",37.9268913,-100.7198703,High Wind,Yellow,34,16
22-042,5.01 City of Wichita Northwest Water Facility,"5211 W 21st St, Wichita, KS 67205, USA",37.7231319,-97.4126247,Good Weather,Green,34,14
22-043,Water Resource Facility Improvements Phase 1,"Fairbury, NE 68352, USA",40.1466169,-97.1798456,Good Weather,Green,32,7
22-045,B-21 Formal Training Unit - AMU,"Ellsworth AFB, SD, USA",44.1463938,-103.0748767,Cold but Good Weather,Blue,22,0
22-046,Snowmass Base Village Building 12,"180 Wood Rd lot 7, Aspen, CO 81611, USA",39.2090822,-106.9450752,Snow,Red,25,0
22-048,Topeka WTP West Plant Rehab,"3245 NW Water Works Dr, Topeka, KS 66606, USA",39.0700026,-95.7159563,Cold but Good Weather,Blue,31,6
22-049,Snowmass Building 13B,"130 Wood Rd, Snowmass Village, CO 81615, USA",39.2096217,-106.9447607,Snow,Red,25,0
22-050,Sioux Falls Water Reclamation Facility,"4500 N Sycamore Ave, Sioux Falls, SD 57104, USA",43.5970429,-96.66690249999999,Cold but Good Weather,Blue,29,10
22-052,(922-228) 63rd WTF Campus Electrical and HSPS,"5605 63rd St, Boulder, CO 80301, USA",40.076915,-105.2085565,Cold but Good Weather,Blue,28,1
22-054,South Canadian WWTP Expansion ST0138,"15924 S May Ave, Oklahoma City, OK 73170, USA",35.30543249999999,-97.5652604,Good Weather,Green,45,15
22-057,B-21 Mission Operations Planning Facility,"1940 EP Howe Drive, Ellsworth AFB, SD 57706, USA",44.1326693,-103.0745542,Cold but Good Weather,Blue,23,0
22-058,HME ERECTION 22-057  B-21 MISSION OPERATIONS PLANNING FACILITY,"1940 EP Howe Drive, Ellsworth AFB, SD 57706, USA",44.1326693,-103.0745542,Cold but Good Weather,Blue,23,0
22-060,Homefield Resort,"9228 State Ave, Kansas City, KS 66112, USA",39.1164427,-94.79390079999999,Cold but Good Weather,Blue,31,5
22-061,HME ERECTION 22-060 HOMEFIELD RESORT,"9400 State Ave, Kansas City, KS 66112, USA",39.1209928,-94.8054749,Cold but Good Weather,Blue,31,5
22-062,(922-227) Water Resource Recovery Facility Phase 2,"120 Cherry Ave, Kearney, NE 68847, USA",40.6745624,-99.0314542,High Wind,Yellow,28,16
22-063,WPC 22-1 Capital Equipment Replacements,"5300 S Elwood Ave, Tulsa, OK 74107, USA",36.0879271,-95.9937027,Good Weather,Green,44,8
22-068,Climax MRWTP Misc Steel,"Copper Mountain, CO 80443, USA",39.501419,-106.1516265,Snow,Red,18,3
22-070,Morrison Creek WWTP,"24490 Uncompahgre Rd, Oak Creek, CO 80467, USA",40.2710014,-106.8391787,Cold but Good Weather,Blue,24,6
22-071,Desoto - Hampton Road PS,"120 W Centre Park Blvd, DeSoto, TX 75115, USA",32.6272079,-96.85914679999999,Rain,Red,52,10
22-072,DataBank - Den5 Phase 1 - 2MW Build-Out,"6961 S Quentin St, Centennial, CO 80112, USA",39.5900982,-104.8471037,Snow,Red,27,3
22-073,U-Haul Bernalillo,"218 South Hill, Bernalillo, NM 87004, USA",35.3144054,-106.5368332,Good Weather,Green,32,7
22-074,Johnson WWTP Improvements,"248 Cloverdale Rd, Jacksonville, AR 72076, USA",34.8448636,-92.12720700000001,Good Weather,Green,33,13
22-080,Johnstown North Intercepter,"Co Rd 50, Johnstown, CO, USA",40.3491147,-104.9531414,Cold but Good Weather,Blue,26,0
22-081,Blue River WWTP Biosolids Facility,"7300 Hawthorne Rd, Kansas City, MO 64120, USA",39.1196558,-94.49615329999999,Good Weather,Green,32,5
22-085,Fort Dodge WWTP Laboratory Building & Odor Control,"Fort Dodge, IA 50501, USA",42.4974694,-94.16801579999999,Cold but Good Weather,Blue,23,0
22-086,(922-276) Griswold WPF - Phase II,"14201 E Hampden Ave, Aurora, CO 80014, USA",39.6533011,-104.8219335,Snow,Red,26,3
22-087,Mineral Industries Bldg,"501 E St Joseph St, Rapid City, SD 57701, USA",44.0734611,-103.2048358,Cold but Good Weather,Blue,23,5
22-089,HME ERECTION 22-088 M&M NON-NUT ENABLEMENT,"100 Mars Blvd, Topeka, KS 66619, USA",38.9322036,-95.69280669999999,Cold but Good Weather,Blue,31,6
22-092,ADJUTANT GENERALS DEPARTMENT TOPEKA FORBES POWERED HANGAR DOORS,"7105 SE Forbes Ave bldg 682, Topeka, KS 66619, USA",38.9394466,-95.6827094,Cold but Good Weather,Blue,30,6
22-093,NACA Wastewater Treatment Plant,"11579 Snavely Rd, Bentonville, AR 72712, USA",36.2227873,-94.2884352,Good Weather,Green,35,14
22-094,HME ERECTION 22-092 ADJUTANT DEPARTMENT TOPEKA FORBES POWERED HANGAR DOORS,"7105 SE Forbes Ave bldg 682, Topeka, KS 66619, USA",38.9394466,-95.6827094,Cold but Good Weather,Blue,30,6
22-095,HME ERECTION 22-087 MINERAL INDUSTRIES BLDG,"501 E St Joseph St, Rapid City, SD 57701, USA",44.0734611,-103.2048358,Cold but Good Weather,Blue,23,5
22-098,HME ERECTION 21-130 UPS 747-8F MAINTENANCE HANGAR,"4525 Crittenden Dr, Louisville, KY 40209, USA",38.1877076,-85.75509459999999,Cold but Good Weather,Blue,28,0
22-099,National Guard Reserve Center Building (JFHQ),"5920 SE Coyote Dr, Topeka, KS 66619, USA",38.9593749,-95.68072149999999,Cold but Good Weather,Blue,31,6
22-100,HME ERECTION 22-029 PROJECT SOLID SURFACE,"105 Broadway St, Belvue, KS 66407, USA",39.2141345,-96.1785642,Cold but Good Weather,Blue,30,9
22-101,BC Phase 2 Raw Water Delivery,"9416 Lime Creek Rd, Leander, TX 78641, USA",30.46737100000001,-97.90630399999999,Rain,Red,52,9
22-102,"(922-337) Austin, MN WWTF Expansion and Phosphorus Reduction","1205 Main St S, Austin, MN 55912, USA",43.6555315,-92.9735522,Cold but Good Weather,Blue,27,3
22-103,Textron P43 Expansion,"7121 W Southwest Blvd, Wichita, KS 67215, USA",37.6349658,-97.42384969999999,Good Weather,Green,35,14
22-108,Marshalltown Headworks and Digester Improvements,"901 Woodland St, Marshalltown, IA 50158, USA",42.0645473,-92.89922450000002,Cold but Good Weather,Blue,24,5
22-109,(922-336) CMAR-Simsboro Aquifer WTP,"265 Sayers Rd, Bastrop, TX 78602, USA",30.158818,-97.3287306,Good Weather,Green,53,2
22-110,Lawton WWTP Improvements Phase I,"8104 SE 15th St, Lawton, OK 73501, USA",34.5269069,-98.36802200000001,Rain,Red,47,12
22-111,Shawnee WWTP System Improvements,"43100 Garrett's Lake Rd, Shawnee, OK 74804, USA",35.406958,-96.8913814,Good Weather,Green,45,7
22-112,(922-323) ROCRWS Peak Flow Storage System & Flood Improvements,"908 Bells Chapel Rd, Waxahachie, TX 75165, USA",32.4860615,-96.7985709,Rain,Red,52,6
22-113,AdventHealth Cancer Center,"Merriam, KS, USA",39.0236165,-94.6935701,Cold but Good Weather,Blue,31,7
22-115,(923-189) TUKHS SKCMP Infusion Expansion,"1000 E 101st Terrace, Kansas City, MO 64131, USA",38.9438302,-94.5783222,Cold but Good Weather,Blue,31,8
22-116,Wes Brown WTP Tube Settler Replacement and Maintenance,"3651 E 86th Ave, Thornton, CO 80229, USA",39.8527443,-104.9420318,Cold but Good Weather,Blue,28,6
22-117,Harrahs Casino,"3773 63rd Ave, Columbus, NE 68601, USA",41.4527512,-97.40522820000001,Cold but Good Weather,Blue,30,9
22-121,North Canadian WWTP Improvements,"12800 N Anderson Rd, Jones, OK 73049, USA",35.5989911,-97.3178703,Good Weather,Green,45,1
22-122,Brewster Place - Redwood Apts,"Topeka, KS, USA",39.0473451,-95.67515759999999,Cold but Good Weather,Blue,31,6
22-123,(923-142) Crested Butte WWTP Imp. Phase B GMP,"801 Butte Ave, Crested Butte, CO 81224, USA",38.8735982,-106.9773902,Cold but Good Weather,Blue,21,6
22-126,CLIMAX MRWTP BUILDING STEEL,"Copper Mountain, CO 80443, USA",39.501419,-106.1516265,Snow,Red,18,3
22-128,Murphy Tractor - PEB,"1621 NW Gage Blvd, Topeka, KS 66618, USA",39.080762,-95.724553,Cold but Good Weather,Blue,31,6
22-130,NWC Livestock Center,"4850 National Western Dr, Denver, CO 80216, USA",39.7846625,-104.972181,Cold but Good Weather,Blue,28,6
22-131,USAFA Phase 3 Falcon Stadium Renovation,"4900 Stadium Blvd, Air Force Academy, CO 80840, USA",38.9947441,-104.8454873,Snow,Red,26,10
